product,issue,sub_product,complaint_id,timely,company_response,submitted_via,company,date_received,state,sub_issue,Month_Year,count
Checking or savings account,Closing an account,CD ,4881161,Yes,Closed with explanation,Web,KEYCORP,6/11/2021,CT,Funds not received from closed account,30-11-21,1
Checking or savings account,Closing an account,CD ,5044281,Yes,Closed with explanation,Referral,BMO HARRIS BANK NATIONAL ASSOCIATION,22-12-21,OR,Can't close your account,31-12-21,1
Checking or savings account,Closing an account,CD ,5101100,Yes,Closed with monetary relief,Web,PNC Bank N.A.,11/1/2022,CO,Funds not received from closed account,31-01-22,1
Checking or savings account,Closing an account,CD ,5131662,Yes,Closed with non-monetary relief,Phone,GOLDMAN SACHS BANK USA,20-01-22,CT,Company closed your account,31-01-22,1
Checking or savings account,Closing an account,CD ,5181545,Yes,Closed with monetary relief,Web,"BANK OF AMERICA, NATIONAL ASSOCIATION",3/2/2022,CO,Can't close your account,28-02-22,1
Checking or savings account,Closing an account,CD ,5196795,Yes,Closed with monetary relief,Web,Lending Club Corp,8/2/2022,DC,Funds not received from closed account,28-02-22,1
Checking or savings account,Closing an account,CD ,5211734,Yes,Closed with explanation,Web,BMO HARRIS BANK NATIONAL ASSOCIATION,11/2/2022,OR,Can't close your account,28-02-22,1
Checking or savings account,Closing an account,CD ,5250772,Yes,Closed with explanation,Web,UNITED SERVICES AUTOMOBILE ASSOCIATION,22-02-22,WV,Can't close your account,28-02-22,1
Checking or savings account,Closing an account,CD ,5258042,Yes,Closed with explanation,Referral,SYNCHRONY FINANCIAL,24-02-22,IN,Can't close your account,28-02-22,1
Checking or savings account,Closing an account,CD ,5263039,Yes,Closed with explanation,Referral,GOLDMAN SACHS BANK USA,24-02-22,CT,Funds not received from closed account,28-02-22,1
Checking or savings account,Closing an account,CD ,5294288,Yes,Closed with monetary relief,Web,"WEBSTER BANK, NATIONAL ASSOCIATION",7/3/2022,AR,Fees charged for closing account,31-03-22,1
Checking or savings account,Closing an account,CD ,5382617,Yes,Closed with explanation,Postal mail,"BANK OF AMERICA, NATIONAL ASSOCIATION",29-03-22,AR,Can't close your account,31-03-22,1
Checking or savings account,Closing an account,CD ,5442767,Yes,Closed with explanation,Web,WASHINGTON FEDERAL BANK,13-04-22,OR,Can't close your account,30-04-22,1
Checking or savings account,Closing an account,CD ,5465049,Yes,Closed with explanation,Web,"CITIZENS FINANCIAL GROUP, INC.",19-04-22,MA,Funds not received from closed account,30-04-22,1
Checking or savings account,Closing an account,CD ,5538214,Yes,Closed with explanation,Web,"Bread Financial Holdings, Inc.",4/5/2022,MA,Fees charged for closing account,31-05-22,1
Checking or savings account,Closing an account,CD ,5697190,Yes,Closed with explanation,Phone,"WEBSTER BANK, NATIONAL ASSOCIATION",22-06-22,NV,Funds not received from closed account,30-06-22,1
Checking or savings account,Closing an account,CD ,5725538,Yes,Closed with explanation,Referral,CAPITAL ONE FINANCIAL CORPORATION,30-06-22,WA,Funds not received from closed account,31-07-22,1
Checking or savings account,Closing an account,CD ,5770535,Yes,Closed with explanation,Web,PNC Bank N.A.,14-07-22,WI,Company closed your account,31-07-22,1
Checking or savings account,Closing an account,CD ,5770802,Yes,Closed with explanation,Phone,PNC Bank N.A.,14-07-22,WI,Can't close your account,31-07-22,1
Checking or savings account,Closing an account,CD ,5800853,Yes,Closed with explanation,Phone,CAPITAL ONE FINANCIAL CORPORATION,22-07-22,LA,Funds not received from closed account,31-07-22,1
Checking or savings account,Closing an account,CD ,5809371,Yes,Closed with monetary relief,Web,SYNCHRONY FINANCIAL,26-07-22,AZ,Funds not received from closed account,31-07-22,1
Checking or savings account,Closing an account,CD ,5835905,Yes,Closed with explanation,Web,"FLAGSTAR BANK, FSB",2/8/2022,MI,Can't close your account,31-08-22,1
Checking or savings account,Closing an account,CD ,5836255,Yes,Closed with explanation,Web,GOLDMAN SACHS BANK USA,2/8/2022,NJ,Can't close your account,31-08-22,1
Checking or savings account,Closing an account,CD ,5840275,Yes,Closed with non-monetary relief,Web,AMERICAN EXPRESS COMPANY,3/8/2022,OH,Fees charged for closing account,31-08-22,1
Checking or savings account,Closing an account,CD ,5842028,Yes,Closed with explanation,Web,"BANK OF AMERICA, NATIONAL ASSOCIATION",4/8/2022,VA,Company closed your account,31-08-22,1
Checking or savings account,Closing an account,CD ,5848015,Yes,In progress,Web,"CITIZENS FINANCIAL GROUP, INC.",5/8/2022,RI,Fees charged for closing account,31-08-22,1
Checking or savings account,Closing an account,CD ,5866337,Yes,Closed with non-monetary relief,Web,AMERICAN EXPRESS COMPANY,11/8/2022,OH,Fees charged for closing account,31-08-22,1
Checking or savings account,Closing an account,CD ,5881429,Yes,Closed with explanation,Web Referral,SYNCHRONY FINANCIAL,15-08-22,CT,Can't close your account,31-08-22,1
Checking or savings account,Closing an account,CD ,5888101,Yes,Closed with explanation,Web,M&T BANK CORPORATION,18-08-22,NJ,Can't close your account,31-08-22,1
Checking or savings account,Closing an account,CD ,5900083,Yes,Closed with explanation,Web,PENTAGON FEDERAL CREDIT UNION,20-08-22,VA,Funds not received from closed account,31-08-22,1
Checking or savings account,Closing an account,CD ,5905109,Yes,Closed with explanation,Web,ALLY FINANCIAL INC.,22-08-22,OR,Can't close your account,31-08-22,1
Checking or savings account,Closing an account,CD ,5908698,Yes,Closed with explanation,Web,M&T BANK CORPORATION,23-08-22,VT,Fees charged for closing account,31-08-22,1
Checking or savings account,Closing an account,CD ,5912201,Yes,Closed with explanation,Web,"BANK OF AMERICA, NATIONAL ASSOCIATION",25-08-22,PA,Can't close your account,31-08-22,1
Checking or savings account,Closing an account,CD ,5914764,Yes,Closed with explanation,Phone,INDEPENDENT BANK CORP.,25-08-22,MA,Company closed your account,31-08-22,1
Checking or savings account,Closing an account,CD ,5927344,Yes,Closed with monetary relief,Web,ALLY FINANCIAL INC.,29-08-22,NC,Fees charged for closing account,31-08-22,1
Checking or savings account,Closing an account,CD ,5945447,Yes,Closed with explanation,Web,"FIRST CITIZENS BANCSHARES, INC.",2/9/2022,TX,Can't close your account,30-09-22,1
Checking or savings account,Closing an account,CD ,5966232,Yes,Closed with explanation,Web,M&T BANK CORPORATION,9/9/2022,CT,Can't close your account,30-09-22,1
Checking or savings account,Closing an account,CD ,5966319,Yes,Closed with non-monetary relief,Referral,AMERICAN EXPRESS COMPANY,8/9/2022,FL,Can't close your account,30-09-22,1
Checking or savings account,Closing an account,CD ,5966351,Yes,Closed with explanation,Referral,SYNCHRONY FINANCIAL,8/9/2022,OH,Fees charged for closing account,30-09-22,1
Checking or savings account,Closing an account,CD ,5966930,Yes,Closed with non-monetary relief,Web,FIRST HORIZON BANK,9/9/2022,KS,Can't close your account,30-09-22,1
Checking or savings account,Closing an account,CD ,5972863,Yes,Closed with explanation,Web,"AXOS FINANCIAL, INC.",12/9/2022,NY,Fees charged for closing account,30-09-22,1
Checking or savings account,Closing an account,CD ,5985356,Yes,Closed with monetary relief,Referral,GOLDMAN SACHS BANK USA,15-09-22,CA,Funds not received from closed account,30-09-22,1
Checking or savings account,Closing an account,CD ,5985394,Yes,Closed with explanation,Web,SYNCHRONY FINANCIAL,15-09-22,CA,Funds not received from closed account,30-09-22,1
Checking or savings account,Closing an account,CD ,5986675,Yes,Closed with monetary relief,Web,"Bread Financial Holdings, Inc.",15-09-22,TX,Can't close your account,30-09-22,1
Checking or savings account,Closing an account,CD ,5996173,Yes,In progress,Web,PENTAGON FEDERAL CREDIT UNION,19-09-22,CO,Can't close your account,30-09-22,1
Checking or savings account,Closing an account,CD ,5997590,Yes,Closed with non-monetary relief,Web,WELLS FARGO & COMPANY,19-09-22,IN,Can't close your account,30-09-22,1
Checking or savings account,Closing an account,Checking account,4784554,Yes,Closed with explanation,Web,"CITIBANK, N.A.",6/10/2021,DE,Company closed your account,31-10-21,1
Checking or savings account,Closing an account,Checking account,4786503,Yes,Closed with explanation,Referral,U.S. BANCORP,4/10/2021,OR,Company closed your account,31-10-21,1
Checking or savings account,Closing an account,Checking account,4791950,Yes,Closed with explanation,Referral,"UNITED BANKSHARES, INC.",6/10/2021,WV,Company closed your account,31-10-21,1
Checking or savings account,Closing an account,Checking account,4792752,Yes,Closed with explanation,Phone,U.S. BANCORP,8/10/2021,KY,Funds not received from closed account,31-10-21,1
Checking or savings account,Closing an account,Checking account,4792934,Yes,Closed with explanation,Phone,"HUNTINGTON NATIONAL BANK, THE",8/10/2021,MN,Funds not received from closed account,31-10-21,1
Checking or savings account,Closing an account,Checking account,4794409,Yes,Closed with monetary relief,Web,U.S. BANCORP,8/10/2021,IA,Company closed your account,31-10-21,1
Checking or savings account,Closing an account,Checking account,4805007,Yes,Closed with explanation,Referral,U.S. BANCORP,12/10/2021,MN,Company closed your account,31-10-21,1
Checking or savings account,Closing an account,Checking account,4807744,Yes,Closed with explanation,Referral,JPMORGAN CHASE & CO.,12/10/2021,WI,Can't close your account,31-10-21,1
